EXPIREDATE,ISSUEDATE,WARNINGTYPE,POLYGON,MEAN
2001-11-01 20:15:00.0,2001-11-01 19:38:00.0,severe-thunderstorm,"[[[-88.607041931451, 41.7205038558478], [-88.6138550326479, 41.7164641278462], [-88.6111753029731, 41.6365428472046], [-88.6042443470319, 41.4571922928835], [-88.5933425004133, 41.1140312604164], [-88.2560609947674, 41.1170900051584], [-88.245692346698, 41.1174409454263], [-88.2490222820911, 41.2050567484094], [-88.0187189655271, 41.2094014297658], [-88.0211929577877, 41.2956592073389], [-87.5324845107806, 41.3013387221503], [-87.5326861745456, 41.4697503872218], [-87.7944661006725, 41.4680513222951], [-87.7987793216201, 41.5684347698296], [-87.9117970247953, 41.5653436167253], [-87.9142557775551, 41.6466344711147], [-88.0335070228628, 41.6448749013921], [-88.0312346259518, 41.6947900995607], [-88.0317619045302, 41.7283936797923], [-88.2668232955137, 41.7249554845665], [-88.607041931451, 41.7205038558478]]]","[[-88.1559611596032, 41.482021620513976]]"
2001-11-03 16:30:00.0,2001-11-03 10:40:00.0,flash-flood,"[[[-97.82, 37.38], [-98.29, 37.38], [-98.17, 37.0], [-97.8, 37.0], [-97.82, 37.38]]]","[[-97.98, 37.227999999999994]]"
2001-11-04 01:00:00.0,2001-11-03 23:53:00.0,severe-thunderstorm,"[[[-100.7, 35.06], [-100.99, 35.0], [-100.93, 34.67], [-100.55, 34.74], [-100.7, 35.06]]]","[[-100.774, 34.906]]"
2001-11-12 00:00:00.0,2001-11-11 22:51:00.0,special-marine,"[[[-80.84, 24.65], [-80.87, 24.76], [-81.22, 24.64], [-81.16, 24.51], [-80.84, 24.65]]]","[[-80.98600000000002, 24.642000000000003]]"
2001-11-12 16:00:00.0,2001-11-12 12:59:00.0,flash-flood,"[[[-97.2, 31.72], [-97.33, 31.62], [-97.14, 31.45], [-96.85, 31.53], [-97.08, 31.83], [-97.2, 31.72]]]","[[-97.13333333333333, 31.645]]"
2001-11-12 18:00:00.0,2001-11-12 15:05:00.0,flash-flood,"[[[-97.09, 31.85], [-96.91, 31.67], [-96.75, 31.79], [-96.85, 31.99], [-97.09, 31.85]]]","[[-96.93800000000002, 31.830000000000002]]"
2001-11-12 19:00:00.0,2001-11-12 15:53:00.0,flash-flood,"[[[-97.46, 31.65], [-97.33, 31.26], [-96.86, 31.52], [-96.99, 31.86], [-97.46, 31.65]]]","[[-97.22, 31.588]]"
2001-11-12 19:30:00.0,2001-11-12 19:00:00.0,severe-thunderstorm,"[[[-97.25, 38.95], [-97.09, 38.82], [-96.95, 38.97], [-97.01, 39.13], [-97.25, 38.95]]]","[[-97.11, 38.964]]"
2001-11-14 16:30:00.0,2001-11-14 15:51:00.0,severe-thunderstorm,"[[[-100.1, 29.61], [-100.1, 29.38], [-99.57, 29.46], [-99.67, 29.62], [-100.1, 29.61]]]","[[-99.90799999999999, 29.536]]"
2001-11-14 20:45:00.0,2001-11-14 16:45:00.0,flash-flood,"[[[-101.68, 32.51], [-101.78, 31.67], [-101.21, 32.12], [-101.19, 32.51], [-101.68, 32.51]]]","[[-101.50800000000001, 32.263999999999996]]"
2001-11-15 06:15:00.0,2001-11-14 17:23:00.0,severe-thunderstorm,"[[[-100.07, 29.61], [-100.11, 29.33], [-99.45, 29.34], [-99.43, 29.62], [-100.07, 29.61]]]","[[-99.826, 29.502]]"
2001-11-14 21:45:00.0,2001-11-14 17:40:00.0,flash-flood,"[[[-101.93, 31.69], [-101.8, 31.67], [-101.79, 31.75], [-101.78, 31.97], [-101.78, 32.09], [-101.84, 32.08], [-101.93, 31.69]]]","[[-101.8357142857143, 31.84857142857143]]"
2001-11-14 21:45:00.0,2001-11-14 17:40:00.0,flash-flood,"[[[-101.93, 31.69], [-101.8, 31.67], [-101.79, 31.75], [-101.78, 31.97], [-101.78, 32.09], [-101.84, 32.08], [-101.93, 31.69]]]","[[-101.8357142857143, 31.84857142857143]]"
