EXPIREDATE,ISSUEDATE,WARNINGTYPE,POLYGON,MEAN
2001-12-01 18:45:00.0,2001-12-01 05:50:00.0,severe-thunderstorm,"[[[-78.81, 40.68], [-79.0, 40.39], [-78.6, 40.41], [-78.47, 40.7], [-78.81, 40.68]]]","[[-78.738, 40.572]]"
2001-12-02 02:00:00.0,2001-12-01 21:45:00.0,flash-flood,"[[[-122.15, 38.54], [-121.99, 38.41], [-121.06, 39.01], [-121.38, 39.26], [-122.15, 38.54]]]","[[-121.74600000000001, 38.751999999999995]]"
2001-12-02 02:00:00.0,2001-12-01 21:45:00.0,flash-flood,"[[[-122.528648754527, 38.150671563432], [-122.564692189706, 38.1853616929668], [-122.634618059366, 38.1794456632438], [-122.710502987931, 38.2049962916133], [-122.729729717321, 38.2031921016034], [-122.89527162484, 38.3138659722776], [-122.935373572828, 38.3083045061889], [-122.965663619562, 38.3122871389582], [-122.994649084682, 38.2972271999883], [-122.939271912039, 38.1532649535683], [-123.010730200117, 37.9944662024876], [-122.956597666482, 37.9907574780998], [-122.921180931798, 38.0306229406578], [-122.822193338167, 38.0076725285282], [-122.691723723162, 37.894392667181], [-122.666392804265, 37.9069197438526], [-122.515725410422, 37.8221063020498], [-122.45825944905, 37.8342211915867], [-122.490022339876, 37.9317675511749], [-122.441781116525, 37.9829552338725], [-122.506450380808, 38.0186521772629], [-122.474544986516, 38.0854571240266], [-122.528648754527, 38.150671563432]]]","[[-122.71229011410938, 38.085186077741426]]"
2001-12-02 02:00:00.0,2001-12-01 21:45:00.0,flash-flood,"[[[-122.15, 38.54], [-121.99, 38.41], [-121.06, 39.01], [-121.38, 39.26], [-122.15, 38.54]]]","[[-121.74600000000001, 38.751999999999995]]"
2001-12-02 00:30:00.0,2001-12-01 23:54:00.0,severe-thunderstorm,"[[[-97.47, 28.25], [-97.34, 28.16], [-97.16, 28.39], [-97.31, 28.45], [-97.47, 28.25]]]","[[-97.35, 28.3]]"
2001-12-02 00:30:00.0,2001-12-01 23:54:00.0,severe-thunderstorm,"[[[-97.47, 28.25], [-97.34, 28.16], [-97.16, 28.39], [-97.31, 28.45], [-97.47, 28.25]]]","[[-97.35, 28.3]]"
2001-12-02 01:00:00.0,2001-12-02 00:20:00.0,severe-thunderstorm,"[[[-97.98, 26.9], [-97.82, 26.79], [-97.47, 27.14], [-97.69, 27.29], [-97.98, 26.9]]]","[[-97.788, 27.004]]"
2001-12-02 01:00:00.0,2001-12-02 00:33:00.0,severe-thunderstorm,"[[[-97.2, 28.61], [-97.07, 28.51], [-96.71, 28.79], [-96.83, 29.0], [-97.2, 28.61]]]","[[-97.00199999999998, 28.703999999999997]]"
2001-12-02 12:15:00.0,2001-12-02 10:50:00.0,special-marine,"[[[-126.07, 41.52], [-125.41, 39.15], [-123.82, 39.2], [-124.53, 41.67], [-126.07, 41.52]]]","[[-125.17999999999998, 40.61200000000001]]"
2001-12-02 23:00:00.0,2001-12-02 22:00:00.0,severe-thunderstorm,"[[[-121.23, 39.12], [-121.14, 39.06], [-120.79, 39.28], [-120.94, 39.43], [-121.23, 39.12]]]","[[-121.066, 39.202000000000005]]"
2001-12-02 23:00:00.0,2001-12-02 22:00:00.0,severe-thunderstorm,"[[[-121.23, 39.12], [-121.14, 39.06], [-120.79, 39.28], [-120.94, 39.43], [-121.23, 39.12]]]","[[-121.066, 39.202000000000005]]"
2001-12-02 23:40:00.0,2001-12-02 22:40:00.0,severe-thunderstorm,"[[[-121.1, 39.29], [-120.94, 39.16], [-120.58, 39.4], [-120.79, 39.56], [-121.1, 39.29]]]","[[-120.902, 39.339999999999996]]"
