EXPIREDATE,ISSUEDATE,WARNINGTYPE,POLYGON,MEAN
2002-01-02 14:00:00.0,2002-01-02 13:07:00.0,special-marine,"[[[-82.11, 24.49], [-81.97, 24.37], [-81.5, 24.73], [-81.71, 24.92], [-82.11, 24.49]]]","[[-81.88, 24.6]]"
2002-01-02 14:15:00.0,2002-01-02 13:14:00.0,special-marine,"[[[-81.79, 24.53], [-81.72, 23.96], [-80.33, 23.95], [-80.36, 24.76], [-81.79, 24.53]]]","[[-81.19800000000001, 24.346]]"
2002-01-02 15:00:00.0,2002-01-02 14:10:00.0,tornado,"[[[-82.03, 24.55], [-81.91, 24.44], [-81.68, 24.7], [-81.75, 24.8], [-82.03, 24.55]]]","[[-81.88, 24.607999999999997]]"
2002-01-02 15:00:00.0,2002-01-02 14:10:00.0,tornado,"[[[-82.03, 24.55], [-81.91, 24.44], [-81.68, 24.7], [-81.75, 24.8], [-82.03, 24.55]]]","[[-81.88, 24.607999999999997]]"
2002-01-02 15:45:00.0,2002-01-02 14:38:00.0,special-marine,"[[[-82.62, 25.52], [-83.42, 24.82], [-83.18, 24.23], [-81.92, 25.08], [-82.62, 25.52]]]","[[-82.75200000000001, 25.034]]"
2002-01-02 16:30:00.0,2002-01-02 15:27:00.0,special-marine,"[[[-83.22, 28.53], [-83.36, 27.74], [-83.79, 27.24], [-83.45, 27.24], [-82.96, 27.27], [-82.76, 28.8], [-83.22, 28.53]]]","[[-83.25142857142858, 27.907142857142855]]"
2002-01-02 17:00:00.0,2002-01-02 15:42:00.0,special-marine,"[[[-81.93, 25.56], [-82.79, 25.29], [-82.71, 24.97], [-81.57, 25.14], [-81.93, 25.56]]]","[[-82.186, 25.304]]"
2002-01-03 05:30:00.0,2002-01-02 16:00:00.0,special-marine,"[[[-80.3, 24.99], [-80.58, 24.71], [-80.47, 24.46], [-80.0, 24.87], [-80.3, 24.99]]]","[[-80.33000000000001, 24.804]]"
2002-01-02 18:00:00.0,2002-01-02 16:30:00.0,special-marine,"[[[-83.08, 24.93], [-83.81, 24.36], [-82.45, 23.77], [-82.02, 24.59], [-83.08, 24.93]]]","[[-82.88799999999999, 24.516000000000002]]"
2002-01-03 05:30:00.0,2002-01-02 16:30:00.0,special-marine,"[[[-83.19, 28.09], [-82.96, 27.72], [-83.37, 27.16], [-82.64, 27.47], [-82.56, 27.82], [-82.82, 28.22], [-83.19, 28.09]]]","[[-82.96142857142857, 27.795714285714286]]"
2002-01-02 20:00:00.0,2002-01-02 18:00:00.0,special-marine,"[[[-81.63, 25.03], [-83.35, 24.19], [-82.72, 23.45], [-81.49, 24.32], [-81.63, 25.03]]]","[[-82.164, 24.404000000000003]]"
2002-01-02 19:45:00.0,2002-01-02 18:10:00.0,special-marine,"[[[-81.86, 25.2], [-81.72, 25.07], [-81.14, 25.14], [-81.38, 25.79], [-81.86, 25.2]]]","[[-81.592, 25.279999999999998]]"
2002-01-02 20:00:00.0,2002-01-02 18:30:00.0,special-marine,"[[[-81.61, 25.46], [-82.31, 25.11], [-82.2, 24.94], [-81.54, 25.16], [-81.61, 25.46]]]","[[-81.85400000000001, 25.226]]"
2002-01-02 21:00:00.0,2002-01-02 19:27:00.0,special-marine,"[[[-81.04, 28.64], [-80.89, 28.52], [-80.23, 29.0], [-80.49, 29.22], [-81.04, 28.64]]]","[[-80.73800000000001, 28.803999999999995]]"
2002-01-02 20:00:00.0,2002-01-02 19:30:00.0,tornado,"[[[-81.13, 25.38], [-81.08, 25.2], [-80.54, 25.29], [-80.63, 25.56], [-81.13, 25.38]]]","[[-80.902, 25.362000000000002]]"
