EXPIREDATE,ISSUEDATE,WARNINGTYPE,POLYGON,MEAN
2002-01-02 22:45:00.0,2002-01-02 19:48:00.0,special-marine,"[[[-81.39, 31.39], [-81.17, 29.53], [-80.26, 29.77], [-80.49, 31.66], [-81.39, 31.39]]]","[[-80.94, 30.748]]"
2002-01-02 20:45:00.0,2002-01-02 19:57:00.0,tornado,"[[[-80.9, 25.4], [-80.82, 25.23], [-80.18, 25.45], [-80.29, 25.68], [-80.9, 25.4]]]","[[-80.61800000000001, 25.432]]"
2002-01-02 21:30:00.0,2002-01-02 20:00:00.0,special-marine,"[[[-81.11, 25.03], [-81.12, 24.82], [-80.8, 24.9], [-80.71, 25.11], [-81.11, 25.03]]]","[[-80.97, 24.978]]"
2002-01-02 22:30:00.0,2002-01-02 20:31:00.0,special-marine,"[[[-80.58, 25.45], [-80.52, 25.27], [-79.16, 25.57], [-79.27, 25.92], [-80.58, 25.45]]]","[[-80.02199999999999, 25.532]]"
2002-01-02 22:30:00.0,2002-01-02 20:38:00.0,special-marine,"[[[-80.93, 28.45], [-80.86, 27.09], [-79.8, 27.11], [-79.87, 28.47], [-80.93, 28.45]]]","[[-80.47800000000001, 27.913999999999998]]"
2002-01-02 21:00:00.0,2002-01-02 20:44:00.0,tornado,"[[[-80.48, 25.49], [-80.43, 25.32], [-80.09, 25.39], [-80.15, 25.59], [-80.48, 25.49]]]","[[-80.32600000000001, 25.456]]"
2002-01-03 18:30:00.0,2002-01-03 05:01:00.0,special-marine,"[[[-81.69, 25.66], [-82.41, 25.27], [-82.25, 24.92], [-81.52, 25.12], [-81.69, 25.66]]]","[[-81.912, 25.326]]"
2002-01-03 06:30:00.0,2002-01-03 05:30:00.0,special-marine,"[[[-80.95, 25.14], [-81.13, 24.64], [-81.25, 24.31], [-80.52, 24.76], [-80.41, 25.09], [-80.41, 25.25], [-80.95, 25.14]]]","[[-80.80285714285715, 24.904285714285713]]"
2002-01-03 07:40:00.0,2002-01-03 06:35:00.0,special-marine,"[[[-80.95, 25.14], [-81.13, 24.64], [-81.25, 24.31], [-80.52, 24.76], [-80.41, 25.09], [-80.41, 25.25], [-80.95, 25.14]]]","[[-80.80285714285715, 24.904285714285713]]"
2002-01-03 07:40:00.0,2002-01-03 06:35:00.0,special-marine,"[[[-80.95, 25.14], [-81.13, 24.64], [-81.25, 24.31], [-80.52, 24.76], [-80.41, 25.09], [-80.41, 25.25], [-80.95, 25.14]]]","[[-80.80285714285715, 24.904285714285713]]"
2002-01-05 09:00:00.0,2002-01-05 07:58:00.0,severe-thunderstorm,"[[[-98.36, 29.39], [-98.27, 29.32], [-98.09, 29.43], [-97.72, 29.62], [-97.94, 29.81], [-98.36, 29.39]]]","[[-98.12333333333333, 29.49333333333333]]"
2002-01-05 09:45:00.0,2002-01-05 08:43:00.0,special-marine,"[[[-96.93, 27.22], [-96.41, 27.12], [-96.18, 27.43], [-96.7, 27.7], [-96.93, 27.22]]]","[[-96.63, 27.338]]"
2002-01-05 09:30:00.0,2002-01-05 08:52:00.0,special-marine,"[[[-96.89, 26.64], [-96.38, 26.63], [-96.38, 27.09], [-96.86, 27.17], [-96.89, 26.64]]]","[[-96.67999999999999, 26.834000000000003]]"
2002-01-05 17:15:00.0,2002-01-05 15:20:00.0,special-marine,"[[[-95.08, 29.98], [-95.23, 28.96], [-94.39, 29.36], [-93.99, 29.98], [-95.08, 29.98]]]","[[-94.75399999999999, 29.651999999999997]]"
2002-01-05 20:00:00.0,2002-01-05 19:01:00.0,special-marine,"[[[-92.07, 29.23], [-91.98, 28.86], [-92.07, 28.49], [-91.31, 29.06], [-91.3, 29.22], [-91.64, 29.5], [-92.07, 29.23]]]","[[-91.77714285714286, 29.084285714285716]]"
2002-01-05 20:30:00.0,2002-01-05 19:58:00.0,special-marine,"[[[-91.63, 29.41], [-91.47, 29.01], [-91.66, 28.63], [-91.34, 28.72], [-91.33, 29.04], [-91.41, 29.47], [-91.63, 29.41]]]","[[-91.49571428571429, 29.09857142857143]]"
2002-01-05 22:00:00.0,2002-01-05 21:16:00.0,severe-thunderstorm,"[[[-90.83, 29.32], [-90.7, 29.19], [-90.21, 29.5], [-90.35, 29.71], [-90.83, 29.32]]]","[[-90.584, 29.407999999999998]]"
2002-01-06 01:45:00.0,2002-01-06 00:59:00.0,severe-thunderstorm,"[[[-88.93, 30.32], [-88.81, 30.17], [-88.12, 30.57], [-88.29, 30.77], [-88.93, 30.32]]]","[[-88.61600000000001, 30.43]]"
2002-01-06 02:00:00.0,2002-01-06 01:28:00.0,severe-thunderstorm,"[[[-88.65, 30.43], [-88.53, 30.23], [-88.11, 30.23], [-88.22, 30.71], [-88.65, 30.43]]]","[[-88.43199999999999, 30.406]]"
2002-01-06 19:15:00.0,2002-01-06 06:08:00.0,special-marine,"[[[-92.29, 29.08], [-92.28, 28.87], [-92.32, 28.61], [-91.64, 29.01], [-91.97, 29.43], [-92.29, 29.08]]]","[[-92.13166666666666, 29.013333333333332]]"
2002-01-15 07:30:00.0,2002-01-15 05:33:00.0,special-marine,"[[[-80.68, 28.02], [-80.69, 27.66], [-79.62, 27.41], [-79.77, 28.36], [-80.68, 28.02]]]","[[-80.288, 27.894]]"
2002-01-15 18:23:00.0,2002-01-15 17:23:00.0,flash-flood,"[[[-121.614758452586, 39.3051759692013], [-121.600285195554, 39.3116113004765], [-121.552119478875, 39.3029484105267], [-121.494371080284, 39.3027731446019], [-121.470772822668, 39.315876590969], [-121.470284645125, 39.3272365648644], [-121.391684476035, 39.3368347757648], [-121.360945119787, 39.3701328767662], [-121.336065510139, 39.4222751571195], [-121.33943044739, 39.4484739761943], [-121.313596871625, 39.475233720745], [-121.302190882713, 39.5141965298827], [-121.276448569801, 39.5128157696666], [-121.277829526687, 39.5059607932388], [-121.231861121245, 39.5057095108308], [-121.230892160426, 39.5198123879373], [-121.180796143018, 39.5205914637632], [-121.181490433862, 39.5119473852252], [-121.153489764677, 39.5128786558147], [-121.152276663472, 39.5228998488739], [-121.140908544817, 39.5223736231358], [-121.138871460527, 39.5492099602523], [-121.128106083869, 39.5491109741078], [-121.129143717335, 39.5567899154255], [-121.089782574523, 39.5576336827549], [-121.090339560971, 39.5780308071567], [-121.071235028236, 39.578199011732], [-121.071532605072, 39.5940757419439], [-121.080375314175, 39.5919698652998], [-121.082717629306, 39.6123135528218], [-121.110680123715, 39.610035641671], [-121.111252354408, 39.6199995904184], [-121.129799919491, 39.6202929577167], [-121.132180382461, 39.6515275469675], [-121.148301728635, 39.6509893505758], [-121.156923187012, 39.6656795186517], [-121.167635144791, 39.664866771756], [-121.167879299858, 39.6793816305268], [-121.184626269495, 39.6792744714074], [-121.185358715898, 39.6919544536316], [-121.20332641947, 39.6922630646595], [-121.205516119749, 39.7194159022635], [-121.226444102193, 39.719163681808], [-121.227290987577, 39.7336556219573], [-121.242779066133, 39.7322247797235], [-121.245396015283, 39.7462055091777], [-121.262158320353, 39.7460908330091], [-121.264241375307, 39.7609947863244], [-121.280400977096, 39.7608954384536], [-121.293295433669, 39.7863201881229], [-121.3139794741, 39.791511748813], [-121.313415016426, 39.8019716191638], [-121.33023839083, 39.8027534405201], [-121.331032038496, 39.8158835694303], [-121.348427623612, 39.816188543358], [-121.359109566367, 39.8539423104442], [-121.403269949254, 39.8601139091889], [-121.405353197861, 39.8940835746152], [-121.418582972338, 39.8945259006956], [-121.418186366576, 39.9076979790285], [-121.402652466092, 39.9086976360135], [-121.411251491396, 39.9510594920683], [-121.402317226915, 39.9522803191999], [-121.401447717782, 39.9772740926352], [-121.411091548568, 39.977846147161], [-121.409375105829, 39.9987849290478], [-121.418950250643, 39.9979951408209], [-121.417172748125, 40.0180260327428], [-121.405804632874, 40.0188768808615], [-121.397000252169, 40.0418795060846], [-121.378399232327, 40.042532094978], [-121.37789582949, 40.0638790162214], [-121.367038854892, 40.0633489359173], [-121.368603033553, 40.0791798060865], [-121.388943723985, 40.0870949622621], [-121.387806991691, 40.0980278349596], [-121.40456169505, 40.0965398754617], [-121.403845008774, 40.1532984394115], [-121.424956339073, 40.1539237685007], [-121.441756882803, 40.1528783258371], [-121.439696606756, 40.1293456068377], [-121.448104497284, 40.1290479478849], [-121.447516901924, 40.1195379633439], [-121.462562596388, 40.1194576484985], [-121.462676943699, 40.1117405511549], [-121.483185476357, 40.1123735038184], [-121.483246392923, 40.1037446959167], [-121.586208301144, 40.095043238999], [-121.582095444624, 40.0588800801963], [-121.595576960729, 40.0533945899956], [-121.600505495614, 40.0364192787348], [-121.617840044611, 40.0348743599484], [-121.616794579093, 40.0185742409894], [-121.624584452987, 40.018288152946], [-121.625041977419, 39.9973913545389], [-121.637005269544, 39.9964949277208], [-121.638889587096, 39.9791763160608], [-121.703657687834, 39.9772233062443], [-121.737196943701, 39.9301159190395], [-121.752623461433, 39.8909468184926], [-121.766356454356, 39.8808950336353], [-122.063649312191, 39.8842342571552], [-122.065525856939, 39.8682698362981], [-122.040142272379, 39.8742857918177], [-122.033245012601, 39.8700248617957], [-122.049137214258, 39.8571273183439], [-122.054942926279, 39.8373672649239], [-122.052027706431, 39.8043474851981], [-122.040567815735, 39.7948223483876], [-122.004197297173, 39.7890129214558], [-122.00526483184, 39.7612764320629], [-121.98300150765, 39.7426457609402], [-121.951468717609, 39.7370842144417], [-121.931196666536, 39.7033856277395], [-121.943281381338, 39.678853438315], [-121.980039899982, 39.6651356374013], [-121.962827591552, 39.6499305162206], [-121.980008767255, 39.6301818770001], [-121.972829016432, 39.6041392230686], [-121.993732690393, 39.5520155081223], [-121.989002158284, 39.5354064986669], [-121.967967735583, 39.5248972564298], [-121.941600671522, 39.5322940835303], [-121.833698164289, 39.5351558782118], [-121.868159741223, 39.497054787992], [-121.869944243622, 39.4261788850012], [-121.88215086452, 39.3862167073599], [-121.896752723974, 39.3025807965813], [-121.614758452586, 39.3051759692013]]]","[[-121.48717085868975, 39.756437877954305]]"
2002-01-16 18:23:00.0,2002-01-16 18:19:00.0,flash-flood,"[[[-117.665535081466, 34.8238504174314], [-117.638098862702, 34.8244569352383], [-117.64318123526, 35.0986811721972], [-117.629692109248, 35.0982997814129], [-117.638255712226, 35.6547178361097], [-117.622416672462, 35.6561598334527], [-117.622561871324, 35.6743135576794], [-117.666729649302, 35.6745269762402], [-117.668690846527, 35.7049179741868], [-117.640385046728, 35.7068864311127], [-117.642163815549, 35.8056960162375], [-117.931043947312, 35.804980854318], [-117.929823109447, 35.7981832467091], [-118.007515419239, 35.7975494561715], [-119.529770187723, 35.793050076958], [-120.189071957884, 35.7944349400421], [-120.180652172619, 35.620133857598], [-120.077567498604, 35.6187702720809], [-120.072960687938, 35.5326206944728], [-120.058197234539, 35.5311861267989], [-120.056549444183, 35.5180637830537], [-120.040092188656, 35.5166711422871], [-120.036826705917, 35.4913266372258], [-120.023261058702, 35.4912195766987], [-120.02100985735, 35.4772006814328], [-120.005696927263, 35.4757737217509], [-120.004597790833, 35.4621820923973], [-119.990963449061, 35.4602554836951], [-119.987804002376, 35.4371767947544], [-119.881530296287, 35.4343639353296], [-119.872128580418, 35.3496825758138], [-119.811190854891, 35.3488769688], [-119.807412633959, 35.2613233995298], [-119.666554552745, 35.2609596916178], [-119.667570556132, 35.176924590345], [-119.560136970817, 35.1783994769926], [-119.562381275302, 35.0938796784332], [-119.491516566083, 35.092677027303], [-119.488251212569, 35.0786698113348], [-119.47585296553, 35.0775673652534], [-119.471238558471, 34.8991642648304], [-119.440353445221, 34.8975430028383], [-119.379262236996, 34.8983438810951], [-119.376164710721, 34.8706999561124], [-119.276337346081, 34.8685901987899], [-119.27432313169, 34.8572724598121], [-119.242911564003, 34.8560593473822], [-119.241698528594, 34.8142939792747], [-118.94138529348, 34.8087515679189], [-118.941560846982, 34.8155642633709], [-118.891143749987, 34.8150263769159], [-117.665535081466, 34.8238504174314]]]","[[-119.10860683655511, 35.30618789627441]]"
2002-01-16 19:25:00.0,2002-01-16 18:25:00.0,flash-flood,"[[[-120.663554838276, 36.2787610052113], [-120.657626044391, 36.2390010982311], [-120.615638240374, 36.2085013402644], [-120.638870992176, 36.1696651017632], [-120.651666297574, 36.1629211558865], [-120.637306429292, 36.125228087935], [-120.614637781515, 36.1041287202584], [-120.580265033959, 36.100172209919], [-120.570971598164, 36.0723061705544], [-120.515402798754, 36.0285632079477], [-120.4927650147, 36.0314963555566], [-120.418534664582, 35.9760007491982], [-120.381003566555, 35.9761642731722], [-120.343411651089, 35.9622443656229], [-120.311450984757, 35.9204666541148], [-120.295222469045, 35.9131996617095], [-119.948455643306, 36.1882496867717], [-119.943792298583, 36.4052692994827], [-119.745283411072, 36.4040828506581], [-119.732488648444, 36.413905739237], [-119.671741385408, 36.4266165156546], [-119.662326523671, 36.4354475850962], [-119.6447475147, 36.4235839132591], [-119.557724390462, 36.4889912036161], [-119.4487424103, 36.5706522537872], [-119.300267016089, 36.5695070370443], [-119.300543361307, 36.6534184181408], [-118.980950632232, 36.6523024749534], [-118.976298550907, 36.7371903508535], [-118.540908904116, 36.7335655223633], [-118.538719347736, 36.7390357099728], [-118.34749500705, 36.739508643551], [-118.364409793728, 36.7538330540526], [-118.387093068763, 36.831115469223], [-118.355690466178, 36.8432648469878], [-118.364068208961, 36.8930506634925], [-118.408259058928, 36.9782447294957], [-118.434468329001, 37.0532062247947], [-118.605090166859, 37.12995868235], [-118.654903444732, 37.1374478473434], [-118.655019200857, 37.1687354039291], [-118.669233599225, 37.1844100220825], [-118.669188809436, 37.2079844132547], [-118.680641555934, 37.2291406083723], [-118.664116532755, 37.2397944603093], [-118.662064676575, 37.2511581942469], [-118.702717144117, 37.3095387315422], [-118.743985541963, 37.3171116630948], [-118.774458099606, 37.3329929390305], [-118.767508860005, 37.3571241616639], [-118.785553542099, 37.3854255930727], [-118.760012684227, 37.4320435659126], [-118.770954089767, 37.4531923041345], [-118.801678338584, 37.4767715786938], [-118.843357038416, 37.4734274270729], [-118.858631210407, 37.4813547263836], [-118.865513634965, 37.5012025173671], [-118.887097131569, 37.5058532035518], [-118.906812501883, 37.5277649427518], [-119.017205620224, 37.5744999040001], [-119.051719746287, 37.6464617495775], [-119.055338251453, 37.6717904277954], [-119.109214545332, 37.7257281008981], [-119.185647203972, 37.7320904572098], [-119.219428913635, 37.7133457468424], [-119.260622219473, 37.7284547422236], [-119.291256966043, 37.740126471726], [-119.302008753616, 37.7675796652143], [-119.362354903437, 37.8335290624084], [-119.389211832977, 37.834817881743], [-119.42030393026, 37.8586891480018], [-119.478839877045, 37.865222531548], [-119.535209241054, 37.8935380843273], [-119.557457591006, 37.8957963173552], [-119.586190586503, 37.8666258706818], [-119.635485991223, 37.8424487958158], [-119.648768851582, 37.8063396321492], [-119.721404132195, 37.7847947623405], [-119.753227784067, 37.7632232048051], [-119.794214390626, 37.7536755975069], [-119.86159982815, 37.7643570841572], [-119.890501061141, 37.7586888307471], [-119.922133742424, 37.7633772560179], [-120.060108050119, 37.8180455198444], [-120.072841841421, 37.815913261206], [-120.11568213442, 37.7812655252936], [-120.182654696352, 37.7804497286579], [-120.192321490669, 37.7616018040547], [-120.232170905007, 37.7537516331915], [-120.242691982927, 37.7412245942087], [-120.282182851654, 37.738810077944], [-120.289377450178, 37.7304523346902], [-120.332713612398, 37.7229262209741], [-120.339366533888, 37.7154877830127], [-120.312402943753, 37.6853830303434], [-120.307099905027, 37.6578607866791], [-120.321977617182, 37.6524669639811], [-120.347384645939, 37.6739965083915], [-120.377804060497, 37.6776928638145], [-120.386715349229, 37.6688277579323], [-120.373729461, 37.651952001985], [-120.388660430242, 37.6352097600839], [-120.385783881361, 37.6230450275218], [-120.30802808781, 37.4963702520623], [-120.263339622714, 37.4436028282598], [-120.269473356841, 37.4248425483777], [-120.251717702042, 37.376789904162], [-120.180865281736, 37.2920336183958], [-120.163040550007, 37.2403419834298], [-120.144537974096, 37.2267619939343], [-120.067682960233, 37.2142163348987], [-120.032836989421, 37.1819827748555], [-120.05239165531, 37.1656176972724], [-120.112040846649, 37.1550276710562], [-120.148038166169, 37.1590823327913], [-120.244043112288, 37.1479312563965], [-120.32748804161, 37.1148162927698], [-120.448158157994, 37.0892087425938], [-120.459404528843, 37.0952397007525], [-120.526680729198, 37.0406676702575], [-120.905536702612, 36.7385941776719], [-120.581300096388, 36.4832095607196], [-120.581724948182, 36.3357023858595], [-120.65493333, 36.313065267416], [-120.666294133571, 36.3000083468527], [-120.663554838276, 36.2787610052113]]]","[[-119.70172593491345, 37.13881535072138]]"
2002-01-16 19:27:00.0,2002-01-16 18:27:00.0,flash-flood,"[[[-120.663554838276, 36.2787610052113], [-120.657626044391, 36.2390010982311], [-120.615638240374, 36.2085013402644], [-120.638870992176, 36.1696651017632], [-120.651666297574, 36.1629211558865], [-120.637306429292, 36.125228087935], [-120.614637781515, 36.1041287202584], [-120.580265033959, 36.100172209919], [-120.570971598164, 36.0723061705544], [-120.515402798754, 36.0285632079477], [-120.4927650147, 36.0314963555566], [-120.418534664582, 35.9760007491982], [-120.381003566555, 35.9761642731722], [-120.343411651089, 35.9622443656229], [-120.311450984757, 35.9204666541148], [-120.295222469045, 35.9131996617095], [-119.948455643306, 36.1882496867717], [-119.943792298583, 36.4052692994827], [-119.745283411072, 36.4040828506581], [-119.732488648444, 36.413905739237], [-119.671741385408, 36.4266165156546], [-119.662326523671, 36.4354475850962], [-119.6447475147, 36.4235839132591], [-119.557724390462, 36.4889912036161], [-119.4487424103, 36.5706522537872], [-119.300267016089, 36.5695070370443], [-119.300543361307, 36.6534184181408], [-118.980950632232, 36.6523024749534], [-118.976298550907, 36.7371903508535], [-118.540908904116, 36.7335655223633], [-118.538719347736, 36.7390357099728], [-118.34749500705, 36.739508643551], [-118.364409793728, 36.7538330540526], [-118.387093068763, 36.831115469223], [-118.355690466178, 36.8432648469878], [-118.364068208961, 36.8930506634925], [-118.408259058928, 36.9782447294957], [-118.434468329001, 37.0532062247947], [-118.605090166859, 37.12995868235], [-118.654903444732, 37.1374478473434], [-118.655019200857, 37.1687354039291], [-118.669233599225, 37.1844100220825], [-118.669188809436, 37.2079844132547], [-118.680641555934, 37.2291406083723], [-118.664116532755, 37.2397944603093], [-118.662064676575, 37.2511581942469], [-118.702717144117, 37.3095387315422], [-118.743985541963, 37.3171116630948], [-118.774458099606, 37.3329929390305], [-118.767508860005, 37.3571241616639], [-118.785553542099, 37.3854255930727], [-118.760012684227, 37.4320435659126], [-118.770954089767, 37.4531923041345], [-118.801678338584, 37.4767715786938], [-118.843357038416, 37.4734274270729], [-118.858631210407, 37.4813547263836], [-118.865513634965, 37.5012025173671], [-118.887097131569, 37.5058532035518], [-118.906812501883, 37.5277649427518], [-119.017205620224, 37.5744999040001], [-119.279538714762, 37.3603907401249], [-119.307471463293, 37.3458034835615], [-119.32868944185, 37.3023242961945], [-119.312208085968, 37.2001528583949], [-119.318731474642, 37.1868779260169], [-119.347068348155, 37.1691018774052], [-119.346160346252, 37.1586878768627], [-119.372826293106, 37.1436583681519], [-119.387299966308, 37.1447303989161], [-119.394548309481, 37.1545646207867], [-119.41356931136, 37.1532830483391], [-119.417704538709, 37.1382342928884], [-119.439533270005, 37.1346219942859], [-119.455387709359, 37.1075419357637], [-119.464673141173, 37.109170865189], [-119.484770194455, 37.140504539798], [-119.499693993622, 37.1379297712487], [-119.499815951664, 37.124319111679], [-119.51013149793, 37.1218395870425], [-119.53546282362, 37.1367319389648], [-119.542314425826, 37.1343210721538], [-119.544831976188, 37.1066038277167], [-119.519828861565, 37.1012328447528], [-119.519577005564, 37.0939811994618], [-119.542222279619, 37.0808091749301], [-119.54071145544, 37.0704066301047], [-119.559953802815, 37.0595691684286], [-119.57921161131, 37.0659662942033], [-119.60435900818, 37.02596579572], [-119.610653595393, 37.0244704347653], [-119.61980197863, 37.0387868024213], [-119.63838805024, 37.0261373624111], [-119.646391434942, 37.0078193703627], [-119.716272438242, 36.9795065954226], [-119.733766547438, 36.9219619323158], [-119.754046346795, 36.9097052410094], [-119.771823128805, 36.8766392375804], [-119.801349913512, 36.8505538860785], [-119.825711915224, 36.8558826408869], [-119.852599199839, 36.8516211891283], [-119.86548601685, 36.8576673036845], [-119.920938862297, 36.8336527607117], [-119.97334788548, 36.8350900368575], [-120.016852349896, 36.8154095292727], [-120.071152882621, 36.8212962674543], [-120.129473645625, 36.7993815289782], [-120.156368168166, 36.7964102528914], [-120.168186042579, 36.7765931790739], [-120.180317247212, 36.7780887190861], [-120.187733587268, 36.7901393677432], [-120.212712927179, 36.7826706239652], [-120.213986805037, 36.7722032232412], [-120.23481587022, 36.7752743502299], [-120.270880738948, 36.7588755811817], [-120.327623292919, 36.7940736200893], [-120.329949974151, 36.7817561652645], [-120.351412249808, 36.7861545731371], [-120.348429370983, 36.7966715112483], [-120.361781679114, 36.8121780885942], [-120.431571192677, 36.8542195497855], [-120.444611247457, 36.8874221722327], [-120.436760862816, 36.9044353981279], [-120.441888705096, 36.9283302759603], [-120.483708530555, 36.9852065668399], [-120.499105428343, 36.9938314885586], [-120.526680729198, 37.0406676702575], [-120.905536702612, 36.7385941776719], [-120.581300096388, 36.4832095607196], [-120.581724948182, 36.3357023858595], [-120.65493333, 36.313065267416], [-120.666294133571, 36.3000083468527], [-120.663554838276, 36.2787610052113]]]","[[-119.63989974237235, 36.85332762136106]]"
2002-01-18 15:15:00.0,2002-01-18 15:11:00.0,severe-thunderstorm,"[[[-80.24, 41.42], [-80.32, 41.28], [-80.09, 41.24], [-80.24, 41.42]]]","[[-80.2225, 41.34]]"
2002-01-18 15:30:00.0,2002-01-18 15:18:00.0,severe-thunderstorm,"[[[-80.24, 41.42], [-80.32, 41.28], [-80.09, 41.24], [-80.24, 41.42]]]","[[-80.2225, 41.34]]"
2002-01-18 15:30:00.0,2002-01-18 15:23:00.0,severe-thunderstorm,"[[[-80.5199962349619, 41.4892885705201], [-80.4529926034923, 41.4858552481928], [-80.451405642363, 41.4917946700452], [-80.4256480712413, 41.4919320121688], [-80.4124259554736, 41.4836008198467], [-80.1283158604299, 41.4788439645408], [-80.1286210625207, 41.4870072565549], [-80.0023219512956, 41.4877166022491], [-80.0029399196976, 41.5049588415375], [-79.9840033769245, 41.507145035077], [-79.9851399093677, 41.5221064846233], [-79.9673783463834, 41.5229003185669], [-79.9694839640468, 41.5305793716213], [-79.9492199438398, 41.5300609715712], [-79.9509363551693, 41.544103022682], [-79.9319235737028, 41.5444657864458], [-79.932320129426, 41.5558108237198], [-79.9163820481702, 41.5565664338958], [-79.9167481065508, 41.5669997376136], [-79.8995664278008, 41.5673242918071], [-79.8994365216851, 41.5814044783149], [-79.850798191463, 41.5959241166503], [-79.8505615341125, 41.60728054697], [-79.8364621994337, 41.6079941087025], [-79.835218372946, 41.6261788868951], [-79.7755862147112, 41.6249780656389], [-79.7753497694902, 41.6177186901174], [-79.6211721190052, 41.6180864299958], [-79.6207982883779, 41.6262650959816], [-79.6202489990606, 41.851966805583], [-80.5226439573086, 41.8507747576586], [-80.5239255625846, 41.4951021493305], [-80.5199962349619, 41.4892885705201]]]","[[-80.03575658933329, 41.56187948380723]]"
