EXPIREDATE,ISSUEDATE,WARNINGTYPE,POLYGON,MEAN
2002-02-01 06:00:00.0,2002-02-01 02:23:00.0,flash-flood,"[[[-88.5, 37.03], [-88.86, 37.15], [-88.79, 36.99], [-88.62, 36.96], [-88.5, 37.03]]]","[[-88.65400000000001, 37.032000000000004]]"
2002-02-01 06:00:00.0,2002-02-01 02:37:00.0,flash-flood,"[[[-88.5, 36.92], [-88.95, 36.76], [-88.87, 36.64], [-88.5, 36.51], [-88.5, 36.92]]]","[[-88.664, 36.75]]"
2002-02-01 07:00:00.0,2002-02-01 04:32:00.0,flash-flood,"[[[-83.5082272213756, 40.8125623175871], [-83.5068466815791, 40.9039889637132], [-83.4751761764887, 40.9041188660422], [-83.4731926987727, 40.9455768960901], [-83.4506854059928, 40.9461759397752], [-83.4503575633083, 40.985738050145], [-83.4168713206805, 40.9863905526722], [-83.1047662358761, 40.9877841795816], [-82.8506518407839, 40.9896228660094], [-82.8284799488268, 40.9946429423493], [-82.8352516659329, 41.2543034045028], [-83.4150263955687, 41.2487825918737], [-83.4165289680125, 41.1646042971992], [-83.8707815602941, 41.1636523870235], [-83.8728489571978, 40.9157248560173], [-83.8733066099113, 40.8124951228174], [-83.5082272213756, 40.8125623175871]]]","[[-83.4033662630575, 40.98992509123448]]"
2002-02-01 20:15:00.0,2002-02-01 06:15:00.0,flash-flood,"[[[-92.47, 36.06], [-92.82, 36.07], [-92.78, 35.78], [-92.61, 35.8], [-92.47, 35.85], [-92.47, 36.06]]]","[[-92.60333333333334, 35.93666666666666]]"
2002-02-01 21:45:00.0,2002-02-01 06:43:00.0,special-marine,"[[[-96.08, 29.17], [-97.03, 28.41], [-98.13, 27.88], [-97.58, 27.04], [-96.5, 27.61], [-95.73, 28.59], [-96.08, 29.17]]]","[[-96.73285714285714, 28.267142857142858]]"
2002-02-01 22:00:00.0,2002-02-01 21:09:00.0,special-marine,"[[[-73.96, 40.25], [-74.94, 39.33], [-73.71, 39.21], [-72.72, 40.13], [-73.96, 40.25]]]","[[-73.85799999999998, 39.833999999999996]]"
2002-02-02 18:30:00.0,2002-02-02 05:30:00.0,special-marine,"[[[-81.11, 24.73], [-80.96, 24.61], [-80.77, 24.68], [-80.92, 24.95], [-81.11, 24.73]]]","[[-80.974, 24.740000000000002]]"
2002-02-07 14:30:00.0,2002-02-07 13:29:00.0,special-marine,"[[[-83.46, 27.42], [-83.37, 27.26], [-82.66, 27.53], [-82.8, 27.77], [-83.46, 27.42]]]","[[-83.14999999999999, 27.48]]"
2002-02-08 07:00:00.0,2002-02-08 06:14:00.0,severe-thunderstorm,"[[[-116.701826324337, 43.8002688027215], [-116.505345464681, 43.7987670369867], [-116.506569741538, 43.6289436062399], [-116.469283468865, 43.6274335132459], [-116.463716825544, 43.4498941202158], [-116.50471107807, 43.4491457989765], [-116.502134504948, 43.2821428864901], [-116.410921622894, 43.2817664603052], [-116.367370004753, 43.2297003329913], [-116.373892944294, 43.2033483388763], [-116.367834559892, 43.1796591690136], [-116.29493161564, 43.1219781971447], [-116.254318276338, 43.1053772301128], [-115.969366097836, 43.110724722439], [-115.972452575198, 43.5776127058712], [-115.949304904266, 43.6042889606068], [-115.875602333032, 43.5891144980355], [-115.798658256915, 43.6166608709942], [-115.783178208518, 43.6338195018997], [-115.692294478943, 43.6579900825558], [-115.669680811161, 43.6823509694692], [-115.630167151692, 43.6965190778936], [-115.624865698547, 43.7397207091782], [-115.597506593488, 43.7767771728518], [-115.536897003815, 43.7961565045986], [-115.526323476199, 43.8452293707354], [-115.504304802524, 43.8659359610214], [-115.403181184635, 43.9030164412471], [-115.366779918008, 43.9121379540511], [-115.334490761318, 43.9080947152834], [-115.285920140788, 43.9206840152107], [-115.265915863549, 43.9582367661839], [-115.222122425566, 44.0050405794545], [-115.207207534498, 44.0403768222481], [-115.189049243607, 44.0533509844855], [-115.217448191203, 44.0865390904672], [-115.17430955256, 44.0809432424156], [-115.152457502796, 44.0651465556367], [-115.131297579673, 43.9782733822596], [-115.10888104113, 43.9615573449809], [-115.083954885807, 43.9666655774154], [-115.085213206086, 43.9443606636506], [-115.067992993872, 43.9468404441431], [-115.0595159861, 43.9321384530575], [-115.034315410729, 43.9468026616061], [-114.967997534794, 43.933959224729], [-114.957461722226, 43.9675102170121], [-114.976314981455, 43.9746320793107], [-114.976910691046, 43.9974252652411], [-115.025527695463, 44.0090939214705], [-115.041489692649, 44.0289266122216], [-115.038995428014, 44.0493927432096], [-115.017472557321, 44.067299359772], [-114.993057663512, 44.075135130096], [-114.997216196024, 44.0852250534282], [-115.023043122679, 44.0947234991473], [-115.037883420977, 44.1099861585792], [-115.011851406675, 44.1291974321491], [-115.017856393504, 44.141591482652], [-115.030346538935, 44.1504377718416], [-115.062704379563, 44.1554691615996], [-115.08016163619, 44.1689427106806], [-115.097458138771, 44.1660014057401], [-115.121744241128, 44.1864025012012], [-115.155956233584, 44.1946306684234], [-115.168492944183, 44.226254882806], [-115.157819517128, 44.2434289712085], [-115.170867235038, 44.2800766829757], [-115.199623688245, 44.2791037233813], [-115.215570359943, 44.3039371598365], [-115.239756680194, 44.3069925096109], [-115.252132411325, 44.3226592550358], [-115.284497319325, 44.330825923035], [-115.311666563384, 44.3430286132394], [-115.34629718628, 44.3379888443054], [-115.343145565029, 44.3101417481518], [-115.35116395473, 44.295653461751], [-115.378874401838, 44.285051984131], [-115.396177659787, 44.2551751000258], [-115.452842192753, 44.233056261065], [-115.499314144234, 44.23723639419], [-115.53207582686, 44.2266575994997], [-116.097832770896, 44.22850698754], [-116.118728244014, 44.1416001893156], [-116.207896901104, 44.1435290559452], [-116.203910823075, 44.320343690655], [-116.145779936647, 44.3208979323097], [-116.146775077384, 44.4964382931646], [-116.187181903582, 44.4907610613446], [-116.208232390571, 44.4977261536217], [-116.23424907818, 44.4623100706505], [-116.261174164513, 44.4579036626912], [-116.297857170862, 44.4389521283507], [-116.336324571395, 44.3652867954507], [-116.329556623038, 44.33881302488], [-116.344189244873, 44.2787166503819], [-116.337168457109, 44.213504702807], [-116.351868812719, 44.14294429897], [-116.441051819778, 44.1438060239197], [-116.446848010593, 44.0568005039936], [-116.521924000948, 44.0561783500994], [-116.526767344811, 44.0006172996816], [-116.563641705468, 44.0007429521382], [-116.566998038138, 43.9716019908777], [-116.697885703072, 43.9733330639174], [-116.701826324337, 43.8002688027215]]]","[[-115.66463159139384, 43.988739315975955]]"
2002-02-17 22:00:00.0,2002-02-17 21:30:00.0,special-marine,"[[[-117.26, 32.98], [-117.37, 33.16], [-117.5, 33.18], [-117.5, 32.96], [-117.26, 32.98]]]","[[-117.378, 33.052]]"
